T (K)	X (V)	Y (V)
1.362430e-01	2.760000e-08	1.244800e-06
1.362430e-01	2.740000e-08	1.244800e-06
1.362430e-01	2.740000e-08	1.244600e-06
1.362430e-01	2.720000e-08	1.244600e-06
1.362430e-01	2.720000e-08	1.244400e-06
1.362430e-01	2.700000e-08	1.244400e-06
1.362430e-01	2.700000e-08	1.244400e-06
1.362430e-01	2.700000e-08	1.244200e-06
1.362430e-01	2.700000e-08	1.244200e-06
1.362340e-01	2.720000e-08	1.244200e-06
1.362340e-01	2.720000e-08	1.244000e-06
1.362340e-01	2.740000e-08	1.244000e-06
1.362340e-01	2.780000e-08	1.244000e-06
1.362340e-01	2.800000e-08	1.244200e-06
1.362340e-01	2.820000e-08	1.244400e-06
1.362340e-01	2.840000e-08	1.244600e-06
1.362340e-01	2.840000e-08	1.244800e-06
1.362530e-01	2.860000e-08	1.245200e-06
1.362530e-01	2.860000e-08	1.245400e-06
1.362530e-01	2.880000e-08	1.245600e-06
1.362530e-01	2.880000e-08	1.245800e-06
1.362530e-01	2.880000e-08	1.246200e-06
1.362530e-01	2.900000e-08	1.246400e-06
1.362530e-01	2.920000e-08	1.246800e-06
1.362530e-01	2.940000e-08	1.247000e-06
1.362530e-01	2.940000e-08	1.247200e-06
1.362530e-01	2.940000e-08	1.247400e-06
1.362530e-01	2.940000e-08	1.247600e-06
1.362530e-01	2.940000e-08	1.247800e-06
1.361710e-01	2.940000e-08	1.248000e-06
1.361710e-01	2.940000e-08	1.248400e-06
1.361710e-01	2.920000e-08	1.248400e-06
1.361710e-01	2.920000e-08	1.248600e-06
1.361710e-01	2.920000e-08	1.248800e-06
1.361710e-01	2.920000e-08	1.248800e-06
1.361710e-01	2.920000e-08	1.248800e-06
1.361710e-01	2.920000e-08	1.248800e-06
1.361710e-01	2.920000e-08	1.248800e-06
1.362890e-01	2.920000e-08	1.248800e-06
1.362890e-01	2.920000e-08	1.248800e-06
1.362890e-01	2.900000e-08	1.248800e-06
1.362890e-01	2.900000e-08	1.248800e-06
1.362890e-01	2.900000e-08	1.248600e-06
1.362890e-01	2.860000e-08	1.248400e-06
1.362890e-01	2.860000e-08	1.248400e-06
1.362890e-01	2.840000e-08	1.248200e-06
1.362890e-01	2.840000e-08	1.248200e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.362740e-01	2.840000e-08	1.248000e-06
1.361590e-01	2.840000e-08	1.248000e-06
1.361590e-01	2.840000e-08	1.248200e-06
1.361590e-01	2.860000e-08	1.248000e-06
1.361590e-01	2.860000e-08	1.248000e-06
1.361590e-01	2.880000e-08	1.248000e-06
1.361590e-01	2.900000e-08	1.248000e-06
1.361590e-01	2.920000e-08	1.248000e-06
1.361590e-01	2.940000e-08	1.248000e-06
1.361590e-01	2.980000e-08	1.248000e-06
1.361590e-01	2.980000e-08	1.248000e-06
1.361590e-01	3.000000e-08	1.248000e-06
1.361590e-01	3.020000e-08	1.248000e-06
1.361590e-01	3.040000e-08	1.247800e-06
1.361590e-01	3.060000e-08	1.247800e-06
1.361590e-01	3.080000e-08	1.247600e-06
1.361590e-01	3.080000e-08	1.247600e-06
1.361590e-01	3.080000e-08	1.247400e-06
1.361570e-01	3.080000e-08	1.247200e-06
1.361570e-01	3.080000e-08	1.247200e-06
1.361570e-01	3.080000e-08	1.247000e-06
1.361570e-01	3.080000e-08	1.246800e-06
1.361570e-01	3.080000e-08	1.246600e-06
1.361570e-01	3.080000e-08	1.246600e-06
1.361570e-01	3.060000e-08	1.246600e-06
1.361570e-01	3.040000e-08	1.246400e-06
1.361570e-01	3.020000e-08	1.246400e-06
1.361720e-01	3.000000e-08	1.246200e-06
1.361720e-01	2.980000e-08	1.246200e-06
1.361720e-01	2.960000e-08	1.246200e-06
1.361720e-01	2.940000e-08	1.246200e-06
1.361720e-01	2.920000e-08	1.246000e-06
1.361720e-01	2.900000e-08	1.246000e-06
1.361720e-01	2.880000e-08	1.246000e-06
1.361720e-01	2.860000e-08	1.246000e-06
1.361720e-01	2.840000e-08	1.246000e-06
1.361720e-01	2.820000e-08	1.246000e-06
1.361720e-01	2.820000e-08	1.246000e-06
1.362250e-01	2.820000e-08	1.246000e-06
1.362250e-01	2.800000e-08	1.246000e-06
1.362250e-01	2.800000e-08	1.246000e-06
1.362250e-01	2.800000e-08	1.245800e-06
1.362250e-01	2.800000e-08	1.245800e-06
1.362250e-01	2.800000e-08	1.245800e-06
1.362250e-01	2.800000e-08	1.245800e-06
1.362250e-01	2.820000e-08	1.245800e-06
1.362250e-01	2.820000e-08	1.245800e-06
1.362250e-01	2.820000e-08	1.245800e-06
1.362250e-01	2.840000e-08	1.245600e-06
1.362250e-01	2.840000e-08	1.245600e-06
1.362190e-01	2.840000e-08	1.245600e-06
1.362190e-01	2.840000e-08	1.245600e-06
1.362190e-01	2.840000e-08	1.245600e-06
1.362190e-01	2.860000e-08	1.245600e-06
1.362190e-01	2.860000e-08	1.245600e-06
1.362190e-01	2.880000e-08	1.245600e-06
1.362190e-01	2.880000e-08	1.245800e-06
1.362190e-01	2.880000e-08	1.245800e-06
1.363590e-01	2.880000e-08	1.246000e-06
1.363590e-01	2.900000e-08	1.246000e-06
1.363590e-01	2.900000e-08	1.246200e-06
1.363590e-01	2.900000e-08	1.246200e-06
1.363590e-01	2.900000e-08	1.246400e-06
1.363590e-01	2.900000e-08	1.246600e-06
1.363590e-01	2.900000e-08	1.246800e-06
1.363590e-01	2.880000e-08	1.246800e-06
1.363590e-01	2.880000e-08	1.247000e-06
1.363590e-01	2.880000e-08	1.247000e-06
1.363590e-01	2.880000e-08	1.247200e-06
1.363590e-01	2.900000e-08	1.247600e-06
1.363590e-01	2.900000e-08	1.247600e-06
1.363590e-01	2.920000e-08	1.247600e-06
1.372460e-01	2.920000e-08	1.247800e-06
1.372460e-01	2.900000e-08	1.247800e-06
1.372460e-01	2.900000e-08	1.247800e-06
1.372460e-01	2.900000e-08	1.248000e-06
1.372460e-01	2.900000e-08	1.247800e-06
1.372460e-01	2.880000e-08	1.248000e-06
1.372460e-01	2.880000e-08	1.248000e-06
1.372460e-01	2.880000e-08	1.248200e-06
1.372460e-01	2.860000e-08	1.248200e-06
1.372460e-01	2.860000e-08	1.248400e-06
1.372460e-01	2.840000e-08	1.248400e-06
1.372460e-01	2.840000e-08	1.248600e-06
1.374950e-01	2.820000e-08	1.248600e-06
1.374950e-01	2.820000e-08	1.248600e-06
1.374950e-01	2.800000e-08	1.248600e-06
1.374950e-01	2.780000e-08	1.248800e-06
1.374950e-01	2.760000e-08	1.248800e-06
1.374950e-01	2.740000e-08	1.248600e-06
1.374950e-01	2.740000e-08	1.248600e-06
1.374950e-01	2.720000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248600e-06
1.374950e-01	2.700000e-08	1.248400e-06
1.374950e-01	2.700000e-08	1.248400e-06
1.374950e-01	2.700000e-08	1.248000e-06
1.374950e-01	2.700000e-08	1.247800e-06
1.374950e-01	2.700000e-08	1.247600e-06
1.374950e-01	2.700000e-08	1.247400e-06
1.374950e-01	2.720000e-08	1.247200e-06
1.374950e-01	2.720000e-08	1.247000e-06
1.374950e-01	2.740000e-08	1.247000e-06
1.383350e-01	2.740000e-08	1.246800e-06
1.383350e-01	2.760000e-08	1.246800e-06
1.383350e-01	2.760000e-08	1.246600e-06
1.383350e-01	2.760000e-08	1.246600e-06
1.383350e-01	2.760000e-08	1.246800e-06
1.383350e-01	2.760000e-08	1.246800e-06
1.383350e-01	2.760000e-08	1.246800e-06
1.383350e-01	2.740000e-08	1.247000e-06
1.383350e-01	2.740000e-08	1.247000e-06
1.383350e-01	2.720000e-08	1.247000e-06
1.383350e-01	2.720000e-08	1.247200e-06
1.383350e-01	2.720000e-08	1.247400e-06
1.383350e-01	2.720000e-08	1.247600e-06
1.387270e-01	2.720000e-08	1.247800e-06
1.387270e-01	2.720000e-08	1.248000e-06
1.387270e-01	2.720000e-08	1.248400e-06
1.387270e-01	2.720000e-08	1.248600e-06
1.387270e-01	2.740000e-08	1.248800e-06
1.387270e-01	2.740000e-08	1.249000e-06
1.387270e-01	2.760000e-08	1.249000e-06
1.387270e-01	2.780000e-08	1.249200e-06
1.391330e-01	2.780000e-08	1.249400e-06
1.391330e-01	2.800000e-08	1.249600e-06
1.391330e-01	2.820000e-08	1.249600e-06
1.391330e-01	2.840000e-08	1.249400e-06
1.391330e-01	2.860000e-08	1.249400e-06
1.391330e-01	2.880000e-08	1.249200e-06
1.391330e-01	2.900000e-08	1.249200e-06
1.391330e-01	2.920000e-08	1.249200e-06
1.391330e-01	2.960000e-08	1.249400e-06
1.391330e-01	2.980000e-08	1.249400e-06
1.391330e-01	2.980000e-08	1.249400e-06
1.391330e-01	2.980000e-08	1.249400e-06
1.391330e-01	3.000000e-08	1.249400e-06
1.391330e-01	3.020000e-08	1.249400e-06
1.391330e-01	3.020000e-08	1.249400e-06
1.391330e-01	3.020000e-08	1.249400e-06
